transaction_id,customer_id,customer_name,customer_age,gender,product_id,product_name,product_category,quantity,price,payment_mode,purchase_date,time_of_purchase,status,row_id
TXN352074,CUST9479,Nehmat Choudhary,49,Male,P2105,Fruits,Groceries,4,19380,Debit Card,12-09-2023,20:52:07,pending,15
TXN965428,CUST1799,Damini Bhalla,38,Female,P4692,Sofa,Furniture,1,162,Cash,12-09-2023,02:35:57,returned,16
TXN681600,CUST8970,Alia Kala,42,Female,P7047,T-Shirt,Clothing,4,1944,Cash,28-05-2023,06:30:28,returned,17
TXN124724,CUST5111,Anvi Balakrishnan,51,Female,P9795,Belt,Accessories,4,12104,Cash,23-07-2023,13:36:00,pending,18
TXN187754,CUST2836,Tejas Master,57,Male,P1122,Milk,Groceries,5,10040,Credit Card,17-04-2023,13:06:46,pending,19
TXN493697,CUST5865,Ira Bora,39,Male,P9651,Laptop,Electronics,4,7752,Credit Card,18-01-2023,03:17:07,delivered,20
TXN855235,CUST5938,Yashvi Sachar,44,Male,P6308,Smartwatch,Electronics,3,11214,EMI,26-08-2023,16:59:09,delivered,21
TXN322611,CUST7138,Samiha Chadha,49,Female,P8201,Smartphone,Electronics,1,2268,Debit Card,04-01-2023,11:42:41,cancelled,22
TXN396910,CUST3454,Aradhya Chandra,41,Male,P3222,Vegetables,Groceries,5,7760,Credit Card,11-04-2023,22:27:30,delivered,23
TXN816872,CUST3291,Mannat Contractor,33,Male,P7145,Jacket,Clothing,5,17180,Credit Card,20-07-2023,03:55:09,pending,24
TXN477631,CUST1468,Myra Joshi,46,Female,P4617,Shirt,Clothing,3,4188,Cash,18-06-2023,01:46:50,returned,25
TXN935609,CUST5990,Divij Mahal,22,Female,P9969,Smartwatch,Electronics,5,22790,UPI,12-06-2023,08:00:50,pending,26
TXN605796,CUST2443,Rania Sekhon,54,Male,P2054,Milk,Groceries,4,5008,EMI,10-03-2023,23:58:01,returned,27
TXN181241,CUST9012,Raunak Dugar,23,Female,P6313,Headphones,Electronics,5,23225,UPI,09-08-2023,07:52:47,cancelled,28
TXN790039,CUST7843,Mehul Saraf,24,Female,P7263,Shirt,Clothing,4,1780,Cash,01-01-2023,22:32:38,pending,29
TXN857036,CUST3128,Tanya Banik,50,Female,P5156,Sofa,Furniture,4,13192,EMI,16-04-2023,04:01:42,delivered,30
TXN243931,CUST5494,Kartik Zacharia,39,Female,P9608,Wheat,Groceries,4,10732,Credit Card,17-07-2023,17:18:25,pending,31
TXN582746,CUST2278,Vihaan Ghosh,40,Male,P3560,Tablet,Electronics,4,12652,Credit Card,01-08-2023,17:32:59,cancelled,32
TXN652361,CUST8484,Navya Sidhu,43,Male,P4754,Handbag,Accessories,2,4674,Cash,04-04-2023,09:45:48,returned,33
TXN684523,CUST7801,Drishya Mane,20,Male,P9360,Shirt,Clothing,1,1210,Debit Card,04-05-2023,19:24:20,pending,34
TXN769956,CUST3917,Taran Sankar,36,Female,P6274,Jacket,Clothing,1,403,EMI,23-11-2023,20:36:53,delivered,35
TXN679691,CUST9725,Dhanush Salvi,30,Male,P5385,Magazine,Books,1,4583,Credit Card,22-01-2023,11:03:35,delivered,36
TXN899950,CUST3860,Uthkarsh Dave,18,Male,P3866,Magazine,Books,2,9748,Cash,03-05-2023,18:15:36,pending,37
TXN250926,CUST5974,Shanaya Mane,50,Male,P1162,Fruits,Groceries,4,9104,Cash,10-09-2023,09:32:43,delivered,38
TXN710436,CUST3454,Aradhya Chandra,41,Male,P1611,Novel,Books,3,11454,Credit Card,12-11-2023,06:49:38,returned,39
TXN386959,CUST3096,Shaan Bhandari,19,Female,P8700,Jeans,Clothing,3,11745,Credit Card,02-08-2023,22:17:00,cancelled,40
TXN733404,CUST5252,Darshit Mann,57,Male,P5391,Chair,Furniture,1,182,Cash,16-04-2023,11:40:43,cancelled,41
TXN928044,CUST5126,Khushi Devan,53,Female,P4524,T-Shirt,Clothing,4,14788,Credit Card,07-10-2023,06:22:12,returned,42
TXN265538,CUST3119,Zain Sura,34,Female,P6759,Novel,Books,1,239,Credit Card,20-02-2023,00:51:59,returned,43
TXN181275,CUST5097,Nitya Sahota,48,Female,P9055,Wheat,Groceries,5,24905,Cash,31-12-2023,00:15:51,pending,44
TXN775886,CUST2867,Renee Biswas,29,Female,P2377,Laptop,Electronics,5,2685,UPI,31-07-2023,18:39:02,pending,45
TXN515425,CUST5569,Seher Hegde,46,Female,P2186,Laptop,Electronics,2,2100,UPI,14-02-2023,04:14:00,returned,46
TXN271895,CUST7105,Badal Ratti,41,Female,P8891,Jeans,Clothing,5,16180,UPI,12-08-2023,09:26:00,pending,47
TXN296847,CUST5513,Uthkarsh Aurora,37,Female,P3721,Chair,Furniture,5,8070,UPI,08-02-2023,07:32:04,returned,48
TXN318614,CUST6937,Jayan Vora,54,Female,P5186,Milk,Groceries,1,377,Credit Card,07-03-2023,13:02:36,pending,49
TXN848781,CUST1176,Kartik Chakraborty,39,Male,P4949,Handbag,Accessories,1,226,Credit Card,18-05-2023,10:39:53,delivered,50
TXN457155,CUST6817,Uthkarsh Dugar,29,Female,P8749,Smartphone,Electronics,5,20595,Credit Card,10-11-2023,08:52:24,pending,51
TXN571146,CUST7305,Abram Bhagat,52,Male,P5821,Shirt,Clothing,5,3555,UPI,27-02-2023,20:18:54,pending,52
TXN300651,CUST2450,Rhea Rastogi,18,Male,P9618,Headphones,Electronics,5,22960,Debit Card,02-12-2023,10:34:37,pending,53
TXN559873,CUST1894,Hiran Tandon,34,Female,P1606,Wallet,Accessories,1,2065,EMI,22-11-2023,22:31:57,pending,54
TXN458171,CUST8656,Yasmin Ravel,24,Male,P1567,Notebook,Books,5,21145,Credit Card,14-03-2023,03:47:46,cancelled,55
TXN180691,CUST2909,Rati Kamdar,33,Male,P7528,Belt,Accessories,4,18560,Credit Card,16-05-2023,01:00:24,pending,56
TXN687762,CUST6180,Umang Mangal,56,Male,P4049,T-Shirt,Clothing,5,12325,Debit Card,07-05-2023,16:23:06,cancelled,57
TXN452256,CUST6214,Kiaan Hari,43,Male,P3693,Belt,Accessories,4,9720,Credit Card,11-11-2023,19:08:44,pending,58
TXN148287,CUST2129,Trisha Shah,47,Female,P8035,Chair,Furniture,4,16644,EMI,14-02-2023,15:32:10,delivered,59
TXN314180,CUST7277,Onkar Sachdeva,37,Male,P9880,Smartphone,Electronics,1,3814,UPI,30-07-2023,17:48:47,cancelled,60
TXN808333,CUST7134,Madhav Vora,59,Male,P2839,Notebook,Books,1,1810,UPI,14-04-2023,12:20:22,delivered,61
TXN843333,CUST3707,Zain Randhawa,57,Female,P5445,Smartphone,Electronics,4,14664,Credit Card,06-07-2023,11:02:37,delivered,62
TXN194279,CUST7979,Hrishita Hora,47,Female,P6444,Vegetables,Groceries,4,19284,Cash,21-04-2023,23:13:50,cancelled,63
TXN358463,CUST7752,Nayantara Ben,51,Female,P2212,Shirt,Clothing,2,3550,UPI,01-01-2024,16:58:15,delivered,64
TXN464747,CUST5235,Madhup Biswas,58,Female,P4436,Fruits,Groceries,3,11049,Credit Card,03-10-2023,06:51:30,returned,65
TXN603432,CUST5410,Onkar Devan,44,Male,P4052,Bed,Furniture,5,9205,EMI,21-04-2023,22:07:08,pending,66
TXN528961,CUST9245,Aarna Sibal,57,Female,P8275,Bed,Furniture,4,13428,Credit Card,07-11-2023,18:44:56,delivered,67
TXN736964,CUST6122,Inaaya  Samra,58,Male,P4298,Handbag,Accessories,4,14864,Debit Card,03-08-2023,02:09:50,pending,69
TXN626086,CUST5556,Mehul Rajagopal,33,Male,P3014,Textbook,Books,1,3633,EMI,19-05-2023,00:40:50,cancelled,70
TXN423065,CUST6122,Inaaya  Samra,58,Male,P8909,Comics,Books,2,4402,EMI,17-08-2023,21:31:03,returned,71
TXN323575,CUST1818,Kismat Kamdar,52,Male,P6568,Sunglasses,Accessories,3,8580,UPI,24-01-2023,07:11:33,cancelled,72
TXN180036,CUST1937,Rania Varghese,24,Female,P8731,Smartwatch,Electronics,5,3485,Credit Card,06-05-2023,04:00:23,pending,73
TXN979376,CUST7228,Saira Ahluwalia,60,Male,P7373,Wallet,Accessories,2,424,EMI,25-05-2023,11:09:48,returned,74
TXN244143,CUST3978,Devansh Kara,38,Male,P1076,Textbook,Books,4,12140,Credit Card,26-02-2023,01:01:30,cancelled,75
TXN462625,CUST7485,Lagan Sehgal,23,Female,P2841,Smartwatch,Electronics,1,232,Credit Card,31-03-2023,03:29:20,pending,76
TXN544255,CUST3826,Manikya Walia,57,Female,P4119,Smartphone,Electronics,2,7306,Credit Card,18-03-2023,02:04:19,pending,77
TXN553735,CUST9494,Ehsaan Ram,25,Male,P3115,Handbag,Accessories,2,4220,Debit Card,22-11-2023,11:21:36,cancelled,78
TXN445517,CUST7427,Zeeshan Barad,51,Male,P2727,Handbag,Accessories,3,8388,EMI,03-08-2023,05:56:21,returned,79
TXN420255,CUST9725,Dhanush Salvi,30,Male,P3185,Novel,Books,2,4766,Cash,01-11-2023,11:58:24,cancelled,80
TXN811729,CUST9221,Anahita Shenoy,46,Female,P8872,Magazine,Books,5,18875,UPI,04-04-2023,20:05:05,pending,81
TXN380813,CUST5276,Indrajit Vaidya,53,Female,P1850,Handbag,Accessories,2,3782,Debit Card,19-09-2023,11:19:20,returned,82
TXN841299,CUST1795,Prerak Bahri,19,Male,P8683,Sweater,Clothing,1,1666,Debit Card,14-12-2023,11:06:44,pending,83
TXN129826,CUST2544,Ryan Shah,50,Male,P3479,Wardrobe,Furniture,2,9516,Debit Card,07-11-2023,23:31:19,returned,84
TXN585568,CUST8622,Anya Bal,51,Male,P2281,Wallet,Accessories,4,15512,UPI,31-07-2023,08:05:19,returned,85
TXN531956,CUST3099,Jiya Goyal,54,Female,P1749,Bed,Furniture,2,8576,Credit Card,05-01-2023,04:25:46,cancelled,86
TXN713879,CUST2300,Jiya Sahota,34,Male,P8036,Milk,Groceries,1,1081,EMI,17-12-2023,12:07:10,pending,87
TXN240646,CUST5356,Renee Kant,37,Female,P4193,Textbook,Books,2,9770,UPI,23-09-2023,11:43:16,cancelled,88
TXN380946,CUST1622,Rati Jayaraman,35,Male,P3786,Sunglasses,Accessories,5,9145,Credit Card,16-10-2023,13:41:52,cancelled,89
TXN156583,CUST4869,Indranil Mander,31,Male,P9591,Chair,Furniture,5,5845,Credit Card,04-07-2023,18:35:35,cancelled,90
TXN734236,CUST8622,Anya Bal,51,Male,P4712,Headphones,Electronics,1,2288,Credit Card,19-01-2023,08:59:32,pending,91
TXN342128,CUST1214,Nehmat Batta,39,Male,P1286,Sweater,Clothing,3,1284,Cash,24-08-2023,20:05:11,returned,92
TXN465438,CUST7367,Anaya Talwar,51,Male,P1770,Sunglasses,Accessories,5,21980,Cash,19-05-2023,19:11:57,cancelled,93
TXN994697,CUST7766,Zain Lad,19,Female,P7945,Jacket,Clothing,1,2895,Debit Card,02-11-2023,14:24:16,pending,94
TXN973015,CUST1780,Ira Rastogi,27,Female,P8796,Headphones,Electronics,3,8016,Cash,17-09-2023,13:26:04,cancelled,95
TXN448186,CUST8934,Aayush Kara,37,Male,P8527,T-Shirt,Clothing,4,14892,UPI,04-04-2023,22:39:13,cancelled,96
TXN104509,CUST2976,Ranbir Kale,39,Female,P2312,Watch,Accessories,3,14616,UPI,26-11-2023,22:19:21,cancelled,97
TXN570243,CUST5078,Aayush Chanda,60,Male,P9868,Fruits,Groceries,5,14135,EMI,29-10-2023,01:12:18,delivered,98
TXN877665,CUST6949,Priyansh Kakar,31,Female,P1432,Chair,Furniture,5,1525,Debit Card,02-06-2023,14:04:09,pending,99
TXN667094,CUST3787,Taran Andra,19,Female,P9892,Watch,Accessories,2,2330,UPI,16-12-2023,09:12:43,pending,100
TXN350580,CUST3890,Shalv Sen,56,Female,P8436,Rice,Groceries,3,4134,EMI,22-06-2023,01:19:41,returned,101
TXN804266,CUST1442,Adira Desai,24,Female,P9144,Rice,Groceries,4,5400,Debit Card,31-07-2023,16:52:35,returned,102
TXN608286,CUST4738,Aayush Chandra,30,Male,P9170,Sweater,Clothing,3,11433,UPI,21-07-2023,19:08:57,returned,103
TXN897531,CUST9201,Indrans Khalsa,35,Female,P1978,Fruits,Groceries,1,535,Cash,26-02-2023,10:01:53,cancelled,104
TXN289575,CUST2547,Dhanuk Dani,23,Male,P7162,Belt,Accessories,1,1204,Credit Card,22-08-2023,02:27:01,returned,105
TXN231506,CUST4053,Seher Randhawa,59,Female,P3770,Dining Table,Furniture,3,633,EMI,08-07-2023,00:23:48,cancelled,106
TXN874466,CUST6701,Indrans Mani,34,Female,P5153,Comics,Books,4,5788,Debit Card,21-10-2023,15:39:37,cancelled,107
TXN572520,CUST8408,Shanaya Basak,23,Male,P2211,Shirt,Clothing,5,7695,UPI,15-11-2023,14:36:18,cancelled,109
TXN132039,CUST3080,Gokul Mangal,37,Female,P4546,Smartwatch,Electronics,3,14352,EMI,18-03-2023,10:08:59,cancelled,110
TXN204817,CUST1814,Yashvi Lad,57,Male,P5660,Tablet,Electronics,1,183,Debit Card,13-05-2023,13:05:42,delivered,111
TXN776296,CUST1383,Zoya Bhardwaj,36,Male,P5880,Notebook,Books,5,21420,Credit Card,16-09-2023,22:54:01,delivered,112
TXN996963,CUST2442,Trisha Sarma,38,Female,P6587,Sofa,Furniture,1,1550,Cash,17-11-2023,08:45:49,cancelled,113
TXN237735,CUST6393,Jayan Chaudhuri,23,Female,P6468,T-Shirt,Clothing,4,12640,Debit Card,11-10-2023,07:53:37,delivered,114
TXN334216,CUST5469,Shanaya Bhatnagar,58,Female,P5854,Vegetables,Groceries,2,1450,UPI,28-11-2023,06:48:10,returned,115
TXN628967,CUST1619,Anahi Tak,31,Female,P4468,Magazine,Books,5,8125,UPI,16-01-2023,00:35:55,cancelled,116
TXN964811,CUST5819,Tanya Vora,44,Female,P4613,T-Shirt,Clothing,4,19448,Credit Card,19-09-2023,04:24:46,returned,117
TXN872039,CUST1442,Adira Desai,24,Female,P8521,Wardrobe,Furniture,5,10405,Debit Card,07-01-2023,14:40:02,cancelled,118
TXN151502,CUST7922,Sara Shanker,31,Male,P7467,T-Shirt,Clothing,4,8148,EMI,23-08-2023,18:38:34,pending,119
TXN147537,CUST2976,Ranbir Kale,39,Female,P5393,Novel,Books,5,18215,Credit Card,28-11-2023,05:13:50,returned,120
TXN214185,CUST1207,Kartik Kade,18,Male,P2949,Smartwatch,Electronics,4,14008,EMI,07-08-2023,22:05:44,delivered,121
TXN194369,CUST7367,Anaya Talwar,51,Male,P1076,Headphones,Electronics,5,18280,Credit Card,30-03-2023,09:17:02,cancelled,122
TXN957192,CUST6325,Vanya Buch,46,Male,P8616,Textbook,Books,4,4692,Cash,03-07-2023,11:58:44,returned,123
TXN838135,CUST6009,Arhaan Choudhary,48,Female,P8234,Dining Table,Furniture,3,8481,Credit Card,08-10-2023,21:25:00,pending,124
TXN196730,CUST2370,Suhana Raju,51,Male,P4946,Tablet,Electronics,5,8080,Debit Card,08-04-2023,21:53:37,pending,125
TXN613252,CUST7216,Indrajit Johal,20,Female,P6978,Comics,Books,1,1357,EMI,09-10-2023,12:53:04,pending,126
TXN980300,CUST6677,Advik Mander,49,Female,P4163,Laptop,Electronics,3,7242,UPI,21-06-2023,22:36:44,cancelled,127
TXN287554,CUST5485,Zeeshan Sachdeva,51,Male,P9996,Notebook,Books,1,157,Debit Card,15-08-2023,22:11:10,returned,128
TXN664310,CUST2365,Tushar Chakrabarti,50,Male,P3838,T-Shirt,Clothing,3,6105,Credit Card,21-11-2023,23:27:48,delivered,129
TXN186937,CUST6613,Armaan Chaudhary,58,Female,P4046,Textbook,Books,2,1496,UPI,14-09-2023,00:50:47,delivered,130
TXN951206,CUST3434,Nitara Chana,50,Female,P3524,Fruits,Groceries,2,4754,Cash,28-07-2023,20:09:15,returned,131
TXN107053,CUST6137,Gatik Badal,47,Male,P9216,T-Shirt,Clothing,3,13776,EMI,03-08-2023,01:59:13,pending,132
TXN621035,CUST4609,Seher Solanki,22,Male,P2983,Wallet,Accessories,5,4180,Debit Card,22-07-2023,19:27:43,cancelled,133
TXN787902,CUST2045,Divit Dhar,57,Male,P4414,Fruits,Groceries,2,6732,Debit Card,11-03-2023,17:06:44,returned,134
TXN964140,CUST1580,Dhanuk Deep,41,Male,P2638,Smartphone,Electronics,4,9176,Debit Card,08-07-2023,17:17:17,pending,135
TXN866710,CUST8656,Yasmin Ravel,24,Male,P1143,Wallet,Accessories,5,5595,Cash,24-03-2023,13:58:10,returned,136
TXN945678,CUST5419,Nitara Ahuja,57,Male,P3503,Sofa,Furniture,2,7004,Credit Card,04-10-2023,02:09:25,returned,137
TXN920785,CUST3051,Prerak Walla,37,Male,P7679,Wallet,Accessories,1,589,EMI,13-11-2023,09:39:06,pending,138
TXN763432,CUST8315,Indrajit Shanker,39,Male,P8484,T-Shirt,Clothing,4,9228,Credit Card,20-11-2023,22:10:35,cancelled,139
TXN966755,CUST8530,Shlok Kakar,58,Male,P1936,Tablet,Electronics,5,24660,Credit Card,27-11-2023,06:21:10,returned,140
TXN268168,CUST9877,Neelofar Raman,27,Female,P3545,Magazine,Books,5,20295,UPI,05-04-2023,00:15:01,pending,141
TXN920836,CUST6337,Aayush Bail,56,Male,P2202,Handbag,Accessories,5,6840,Cash,14-11-2023,14:16:44,pending,142
TXN361956,CUST1660,Mehul Bhatti,29,Female,P1660,Tablet,Electronics,2,6586,Debit Card,12-12-2023,08:19:28,returned,143
TXN554548,CUST4649,Sana Issac,20,Male,P6861,Wheat,Groceries,4,18604,EMI,22-05-2023,03:36:49,returned,144
TXN443039,CUST3826,Manikya Walia,57,Female,P9388,Vegetables,Groceries,4,4544,UPI,16-02-2023,23:12:56,cancelled,145
TXN687806,CUST1982,Prisha Rama,19,Female,P6370,Vegetables,Groceries,4,9572,Debit Card,22-01-2023,21:04:44,cancelled,146
TXN712396,CUST7985,Prisha Rastogi,40,Male,P5009,Sunglasses,Accessories,2,6406,Debit Card,21-05-2023,20:41:07,pending,147
TXN605919,CUST3171,Seher Chandra,41,Male,P9626,Sweater,Clothing,3,8022,Credit Card,04-06-2023,14:56:28,returned,148
TXN244649,CUST3260,Aaryahi Bandi,45,Female,P3068,Fruits,Groceries,2,9540,EMI,07-08-2023,05:34:55,pending,149
TXN988837,CUST4286,Tejas Soni,26,Female,P1330,Milk,Groceries,1,4469,UPI,15-07-2023,17:47:40,pending,150
TXN786437,CUST2204,Himmat Bahl,20,Male,P9829,Fruits,Groceries,3,14760,Debit Card,23-11-2023,00:18:11,pending,151
TXN563244,CUST4106,Anahita Doctor,52,Male,P3702,Handbag,Accessories,2,6834,Cash,23-08-2023,02:40:14,cancelled,152
TXN624250,CUST6758,Ayesha Sant,56,Female,P3104,Belt,Accessories,3,7287,Cash,13-05-2023,08:10:49,cancelled,153
TXN611187,CUST6817,Uthkarsh Dugar,29,Female,P5626,Headphones,Electronics,5,2985,Credit Card,25-07-2023,23:22:33,pending,154
TXN306965,CUST3356,Arhaan Lala,56,Male,P1305,Wallet,Accessories,3,4617,EMI,03-04-2023,10:53:17,returned,155
TXN535289,CUST4738,Aayush Chandra,30,Male,P6918,Tablet,Electronics,5,23770,Credit Card,03-05-2023,21:27:10,pending,156
TXN340418,CUST7216,Indrajit Johal,20,Female,P2277,Sweater,Clothing,5,18315,EMI,22-08-2023,18:13:51,pending,157
TXN109833,CUST5470,Anika Iyer,31,Female,P3408,Shirt,Clothing,4,6760,EMI,10-10-2023,08:24:08,returned,158
TXN468585,CUST7843,Mehul Saraf,24,Female,P2302,Sweater,Clothing,3,3897,Credit Card,12-08-2023,13:13:31,cancelled,159
TXN478187,CUST6654,Keya Keer,39,Female,P7024,Wardrobe,Furniture,4,9412,UPI,10-03-2023,18:52:40,cancelled,160
TXN432990,CUST8438,Anahita Desai,33,Female,P5214,Dining Table,Furniture,5,24805,Cash,29-11-2023,22:06:56,cancelled,161
TXN994665,CUST2974,Jayant Bansal,55,Male,P8978,Wheat,Groceries,1,1860,Debit Card,17-01-2023,15:09:48,pending,162
TXN799065,CUST4410,Akarsh Tara,35,Male,P7017,Smartphone,Electronics,4,14288,EMI,28-09-2023,05:43:08,pending,163
TXN526931,CUST1563,Divit Jha,56,Male,P6972,Wallet,Accessories,5,3725,Credit Card,06-01-2023,13:55:47,cancelled,164
TXN314768,CUST5974,Shanaya Mane,50,Male,P4084,Chair,Furniture,5,6955,Debit Card,19-01-2023,17:35:12,returned,165
TXN410132,CUST5921,Kismat Saran,25,Male,P8229,Textbook,Books,2,1668,Credit Card,09-10-2023,10:08:28,pending,166
TXN261587,CUST8934,Aayush Kara,37,Male,P9626,Wheat,Groceries,4,8472,EMI,01-09-2023,11:37:47,pending,167
TXN430440,CUST5097,Nitya Sahota,48,Female,P6263,Headphones,Electronics,1,3583,Credit Card,25-07-2023,20:56:03,returned,168
TXN150836,CUST8459,Shamik Sampath,30,Female,P9488,Vegetables,Groceries,3,12618,Debit Card,30-06-2023,08:34:29,cancelled,169
TXN626832,CUST6654,Keya Keer,39,Female,P6475,Magazine,Books,4,6536,Debit Card,06-07-2023,19:37:03,delivered,170
TXN184052,CUST7922,Sara Shanker,31,Male,P7165,Smartphone,Electronics,2,4360,Credit Card,09-08-2023,02:32:52,delivered,171
TXN856961,CUST6473,Indranil Talwar,31,Male,P6078,Bed,Furniture,1,2306,Credit Card,16-08-2023,12:10:03,pending,172
TXN607091,CUST2113,Anahita Vaidya,44,Female,P4392,Vegetables,Groceries,5,16875,Debit Card,04-11-2023,09:46:07,cancelled,173
TXN615393,CUST8364,Advika Subramaniam,44,Male,P7571,Wardrobe,Furniture,2,5096,Debit Card,08-03-2023,22:34:32,pending,174
TXN534950,CUST8831,Shlok Dhingra,35,Male,P7690,Novel,Books,2,362,EMI,20-02-2023,08:31:41,cancelled,175
TXN818041,CUST2698,Ishita Chander,45,Female,P6585,Comics,Books,1,3585,Cash,30-05-2023,01:31:11,returned,176
TXN281411,CUST6946,Inaaya  Rege,29,Female,P4983,Sweater,Clothing,5,17105,UPI,27-10-2023,06:41:58,delivered,177
TXN395626,CUST5926,Urvi Ram,55,Female,P9656,Sunglasses,Accessories,1,946,Debit Card,06-11-2023,02:47:24,returned,178
TXN340100,CUST2081,Tushar Chandran,36,Male,P3853,Jacket,Clothing,5,12345,EMI,22-09-2023,14:36:11,delivered,179
TXN493178,CUST5865,Ira Bora,39,Male,P2070,Magazine,Books,3,11319,Debit Card,13-10-2023,03:09:21,pending,180
TXN685700,CUST1982,Prisha Rama,19,Female,P8303,Jacket,Clothing,3,10560,UPI,19-04-2023,16:06:49,cancelled,181
TXN469013,CUST5616,Emir Swaminathan,18,Female,P6265,Vegetables,Groceries,3,11208,Debit Card,31-07-2023,02:54:21,delivered,182
TXN688557,CUST8724,Misha Bhalla,45,Female,P9442,Sofa,Furniture,4,19860,Credit Card,28-04-2023,00:05:47,cancelled,183
TXN435224,CUST2499,Advika Chaudhry,59,Male,P8495,Magazine,Books,1,2781,UPI,15-09-2023,06:06:54,pending,184
TXN640516,CUST1982,Prisha Rama,19,Female,P3324,Belt,Accessories,5,10930,EMI,16-01-2023,19:19:54,returned,185
TXN962432,CUST9993,Heer Bhatia,47,Female,P4205,Dining Table,Furniture,4,12768,EMI,19-06-2023,16:12:44,delivered,186
TXN773393,CUST6386,Anya Sodhi,28,Male,P4863,Wallet,Accessories,4,13704,Debit Card,18-02-2023,08:45:14,returned,187
TXN278068,CUST8603,Vedika Chaudhry,18,Male,P8196,Sweater,Clothing,4,15916,Credit Card,26-01-2023,17:57:34,pending,188
TXN182046,CUST6422,Indrans Sane,52,Male,P8684,Bed,Furniture,4,17308,EMI,01-02-2023,13:02:17,cancelled,189
TXN752799,CUST5407,Kaira Din,21,Male,P9364,Wardrobe,Furniture,2,1304,UPI,14-06-2023,05:07:59,returned,190
TXN703458,CUST9201,Indrans Khalsa,35,Female,P7494,Chair,Furniture,3,14067,Cash,12-06-2023,10:34:54,pending,191
TXN149963,CUST2672,Oorja Dada,31,Male,P9058,Laptop,Electronics,5,16925,Credit Card,19-01-2023,09:16:14,delivered,192
TXN594288,CUST7617,Anahita Master,47,Female,P9632,Vegetables,Groceries,5,5195,Credit Card,14-05-2023,11:26:52,pending,193
TXN920032,CUST3665,Mannat Rana,35,Female,P3837,Shirt,Clothing,5,20800,Credit Card,24-10-2023,02:38:47,delivered,194
TXN572375,CUST6378,Kanav Choudhry,24,Female,P7102,Belt,Accessories,2,5872,UPI,16-06-2023,13:51:41,pending,195
TXN570220,CUST5470,Anika Iyer,31,Female,P2612,Sweater,Clothing,2,7564,UPI,16-06-2023,16:03:10,pending,196
TXN245736,CUST1928,Mehul Brar,25,Male,P7442,Wallet,Accessories,1,3662,Credit Card,10-04-2023,12:00:18,cancelled,197
TXN185430,CUST9741,Armaan Chahal,30,Male,P9481,Wheat,Groceries,2,6744,EMI,17-09-2023,00:56:41,cancelled,198
TXN119892,CUST1702,Eva Bera,35,Male,P9849,Comics,Books,5,10525,Cash,02-08-2023,05:10:02,delivered,199
TXN902430,CUST7850,Anika Som,34,Male,P1404,Headphones,Electronics,5,11980,EMI,16-05-2023,12:12:33,pending,200
TXN731763,CUST2544,Ryan Shah,50,Male,P4267,Smartwatch,Electronics,2,1714,Credit Card,09-06-2023,04:58:17,cancelled,201
TXN369151,CUST1799,Damini Bhalla,38,Female,P8431,Belt,Accessories,5,21595,EMI,30-08-2023,07:55:09,pending,202
TXN718937,CUST2976,Ranbir Kale,39,Female,P5145,Jeans,Clothing,5,9290,EMI,22-11-2023,07:57:10,pending,203
TXN143663,CUST8285,Shray Gaba,47,Female,P4622,Vegetables,Groceries,1,789,Cash,14-01-2023,03:10:23,delivered,204
TXN857531,CUST4926,Anya Rama,58,Male,P6219,Bed,Furniture,2,5916,EMI,29-03-2023,01:59:56,delivered,205
